motorway_highway,secondary_tertiary,residential,other_roads,date_trunc
0.0,0.0,0.0,0.0,2007-10-01
0.0,0.0,0.0,0.0,2007-11-01
0.0,0.0,0.0,0.0,2007-12-01
0.0,0.0,0.0,0.0,2008-01-01
0.0,0.0,0.0,0.0,2008-02-01
0.0,0.0,0.0,0.0,2008-03-01
0.0,0.0,0.0,0.0,2008-04-01
0.0,0.0,0.0,0.0,2008-05-01
0.0,0.0,0.0,0.0,2008-06-01
0.0,0.0,0.0,0.0,2008-07-01
0.0,0.0,0.0,0.0,2008-08-01
0.0,0.0,0.0,0.0,2008-09-01
97.38809589552922,0.0,2.354623191431544,0.0,2008-10-01
98.83884786472198,2.5985549531336956,2.788813220099772,0.0,2008-11-01
133.76637706462043,2.5985549531336956,2.788813220099772,2.8018580501221964,2008-12-01
298.1993213232246,42.33834764832875,40.864675796272316,8.219380681385205,2009-01-01
441.7153117012604,159.37683088338062,49.55916488480992,16.028194322913595,2009-02-01
441.7153117012604,159.37683088338062,49.55916488480992,16.028194322913595,2009-03-01
441.7153117012604,159.37683088338062,49.55916488480992,16.028194322913595,2009-04-01
445.9041474287373,161.52873650065018,49.812629382641994,31.747793845226262,2009-05-01
463.0476693175095,161.52873650065018,49.812629382641994,31.747793845226262,2009-06-01
514.4129878516069,198.2355742866629,91.45093062886441,140.6167635795089,2009-07-01
538.4585444593641,205.51951976158398,116.00881616464063,98.74880573282391,2009-08-01
517.6902869837091,228.2890961551534,144.49416569624898,101.67901222100379,2009-09-01
498.1334021302354,228.2890961551534,144.49416569624898,101.67901222100379,2009-10-01
498.1334021302354,228.2890961551534,144.49416569624898,101.67901222100379,2009-11-01
492.594974800557,272.6954718259807,149.26549968765795,94.29246441046443,2009-12-01
485.50711318960606,273.70317601104654,153.19230730915277,105.76313587557694,2010-01-01
485.50711318960606,273.70317601104654,153.19230730915277,105.76313587557694,2010-02-01
490.52528550600607,273.7043037769873,153.19230730915277,105.76313587557694,2010-03-01
490.52528550600607,272.0225149263888,152.22606978374304,108.41116225158517,2010-04-01
511.47052730658703,271.9210574782007,152.63652056113605,108.41116225158517,2010-05-01
512.6623145581017,275.74332376948894,152.61100884922635,109.72298368240243,2010-06-01
512.6623145581017,275.74332376948894,152.61100884922635,109.72298368240243,2010-07-01
630.5597092017828,580.2256591196036,222.8836312566632,58.95216096391086,2010-08-01
620.0531062391407,643.0554580874572,314.8113333338338,74.59872082071031,2010-09-01
620.4112892028808,642.9630721948243,314.8498913071219,74.79820484955047,2010-10-01
620.4112892028808,642.4939130935919,315.31905040835437,74.79820484955047,2010-11-01
625.7019471524303,642.2287001465382,327.4165160926693,84.24440418118313,2010-12-01
589.2097592359673,651.8276081289802,381.9236553815087,140.8329084559666,2011-01-01
601.7975704418266,652.6015690254009,400.8582537966,160.30099816960166,2011-02-01
601.7975704418376,652.601569025404,401.272683796596,160.42386867995597,2011-03-01
601.7968957499871,652.3697418486695,416.798953317265,160.5924565119096,2011-04-01
742.8282253773298,652.2824082384135,417.59189454120605,159.88081650031236,2011-05-01
742.8281089582065,652.2824082384135,417.59189454120605,159.88081650031236,2011-06-01
787.9398236302643,610.1474363166577,418.51108815680413,156.93533452779351,2011-07-01
787.9728844933331,610.1474363166576,418.51108815680413,156.93533452779351,2011-08-01
788.5771032779606,619.5718591837755,455.7806247692813,155.1803093621231,2011-09-01
681.6751541708109,619.5668329182112,456.26837372321995,154.69181408047172,2011-10-01
681.6759941409653,619.5668329182112,456.26837372321995,155.4874319547275,2011-11-01
682.0755970731299,617.6960576130801,456.26837372321995,155.4874319547275,2011-12-01
704.6799547812151,656.0659198871102,457.0516349484272,157.09257464140796,2012-01-01
659.9966682968769,700.7492063714487,457.0516349484272,157.09257464140796,2012-02-01
661.3065162433742,709.5428626507011,539.4618865949956,172.57610557170673,2012-03-01
680.459354943193,763.2641584296622,1045.4279769567318,203.40918008903574,2012-04-01
685.1531906935343,781.3173221795585,1069.6431507173775,211.03049215627996,2012-05-01
685.1531906936308,781.3539146932268,1070.1987260112119,211.15203366455,2012-06-01
685.1531906936308,781.3539146979932,1070.8035648331747,211.65199790711736,2012-07-01
715.4605478910119,785.6606621357021,1075.1561866393415,214.80382006134207,2012-08-01
715.4605478910119,784.8271170680177,1073.8163194567983,214.80382006134207,2012-09-01
715.4791889255529,784.9401594368295,1078.159149636791,254.42261723606825,2012-10-01
715.5691580285612,788.8477679487371,1089.8014174911266,262.5336155494959,2012-11-01
716.6228204494299,789.3835829178292,1179.2084213442047,262.5294420514373,2012-12-01
695.355819832156,789.4573071564456,1210.0438101486789,273.876342619318,2013-01-01
695.2898003631802,795.5306230561764,1233.9425430259016,268.6328833492181,2013-02-01
694.883888624416,793.8574012642472,1243.1352186838585,264.6212891234965,2013-03-01
747.234529818254,750.1445727978211,1245.0766323453122,271.24439982007976,2013-04-01
747.6981960543367,749.7156873955039,1275.7883027139258,273.55679104760384,2013-05-01
747.3362342037924,750.3325567589626,1278.0040813713467,275.95295663469926,2013-06-01
738.6114075521346,750.4248412571142,1277.902088778813,276.03209939869,2013-07-01
739.6008734708934,754.1819370025692,1280.336848175166,279.01771012736185,2013-08-01
740.1914613611127,753.532276465869,1284.642937315616,293.5428858105515,2013-09-01
740.1914613612739,753.5057818301581,1284.6429373158032,296.6380728776211,2013-10-01
725.7478572920168,753.5057818301581,1284.642937316103,296.6380728776211,2013-11-01
725.7478572920168,752.9139292301538,1284.6475468449937,303.2199993141073,2013-12-01
725.7478573018582,752.9809181263425,1293.491348362418,309.10729579291353,2014-01-01
725.7281304867063,752.9539059707962,1293.491348362418,309.10729579291353,2014-02-01
722.8611821689506,762.6036604903649,1309.3947467352339,310.89103436359176,2014-03-01
725.4789541080123,780.394367300101,1338.403105480722,316.8258695312701,2014-04-01
748.5382503732669,761.4637008566164,1342.6371646028626,320.01385672384885,2014-05-01
748.5382503732669,761.4637008566164,1342.6380097411645,320.01385758381275,2014-06-01
748.53825037401,761.3771174642768,1342.8208067175,320.0235385702249,2014-07-01
748.5363227865463,763.9515441471054,1342.9606567088963,325.64246894996785,2014-08-01
740.5513642369347,762.5336411937967,1346.2386602051959,332.39484545321125,2014-09-01
742.881966198928,762.5302916415603,1352.9313936339638,334.020544379874,2014-10-01
742.1081780992486,763.246873413533,1358.8033504404032,335.1739317922574,2014-11-01
742.1082525293465,763.2418219306124,1359.115665151352,336.0692405949527,2014-12-01
690.967045888264,765.3773754548279,1462.8038035437999,330.3466392280893,2015-01-01
691.0771905592228,766.3350592141785,1467.772983881789,331.9716799231772,2015-02-01
697.9168677895516,759.7273701847939,1467.9410762504854,331.80505397420563,2015-03-01
700.8993150861928,759.4591135116092,1468.9592690965906,331.3339491554307,2015-04-01
699.2448612547083,754.5151417533175,1468.8064506446478,335.3736082105241,2015-05-01
706.2731666663198,755.124660652789,1480.0918081099483,322.82520071591233,2015-06-01
706.2743209300706,755.684972943009,1479.2028837171858,323.221051997247,2015-07-01
706.2741644710117,756.1744165044843,1471.4572757784929,328.43598993282404,2015-08-01
706.9360820973429,759.6616762931349,1471.624736549603,333.07962325766704,2015-09-01
706.9965197641203,797.279939247954,1505.8545803031468,415.10926549522793,2015-10-01
707.0735251530554,802.1781619633077,1505.6028035568147,414.03686955527104,2015-11-01
707.5899142957179,809.4914745252878,1581.928549762491,440.8498076212182,2015-12-01
708.2567923585747,813.8632127023926,1685.6919603164956,476.51857753658237,2016-01-01
708.7285933261325,814.6938610465155,1688.1665850426007,483.11448256245404,2016-02-01
717.873871018511,810.4592271642254,1687.9921598983635,483.70316598913,2016-03-01
717.8772182860661,810.4592271643648,1687.9921599004638,484.1733093902437,2016-04-01
717.9591502085955,810.3766381296426,1687.9942557017823,484.1733093902437,2016-05-01
718.4941860575408,810.26953163397,1695.476105377589,492.05000382126786,2016-06-01
718.3811536390537,809.9364616934764,1701.7942294628706,494.83707303644604,2016-07-01
727.2635491539904,808.3029201559199,1702.841446509727,531.9058263108756,2016-08-01
727.2089681388294,809.2496927764068,1708.8018737448294,532.4165623555307,2016-09-01
727.2089681388294,809.2496927778499,1708.8549349601724,532.4208611259869,2016-10-01
727.7399951424028,810.709257544803,1716.9088180936517,544.7735224395916,2016-11-01
727.7423026228381,813.0898621500468,1718.8593010134896,543.6849424802411,2016-12-01
